P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
1920;312.8;1.6980065128;0.008219359231169820;0.13779786051812300;0.0006670234232612890;0.7862592749257280
1920;317;1.7165364084;0.007961439667016550;0.13681517293411900;0.0006345602339312220;0.7510875085968850
1920;321.2;1.7351161877;0.007720447030474110;0.13583465104589700;0.0006044000025536590;0.7183713397420860
1920;325.4;1.7536706078;0.007494568699300330;0.13485601309297300;0.0005763269625090000;0.6878829570273020
1920;329.6;1.772229107;0.007282634968760630;0.13387898094412300;0.0005501499464025500;0.6594203495661070
1920;333.8;1.7907563945;0.007083339578568470;0.13290327954039600;0.0005256991196400170;0.6328038993908250
1920;338;1.8092927734;0.006895791205137030;0.13192863635079500;0.0005028220659693370;0.6078721069595430
1920;342.2;1.8278017949;0.006718927554945240;0.13095478083788200;0.0004813846270876940;0.5844829815831730
1920;346.4;1.8463016345;0.006551962822541980;0.12998144393062100;0.0004612646018148270;0.5625067639814600
1920;350.6;1.8648450453;0.006394328709540540;0.12900835750185200;0.0004423540959747380;0.5418290559575000
1920;354.8;1.8833029653;0.006244884921267140;0.12803525384777100;0.0004245548596616540;0.5223454081086220
1920;359;1.9018539182;0.006103610409944460;0.12706186516682300;0.0004077790178933050;0.5039624303824420
1920;363.2;1.9204257919;0.005969680288066010;0.12608792303536800;0.0003919467192599740;0.4865951086075410
1920;367.4;1.9389083652;0.005842246185239290;0.12511315787745300;0.0003769862890115100;0.4701671732344870
1920;371.6;1.9574250304;0.005721214683014800;0.12413729842590300;0.0003628318446110310;0.4546083007752690
1920;375.8;1.9759595947;0.005606108920093540;0.12316007117189100;0.0003494245405789260;0.4398558074803440
1920;380;1.9945072712;0.005496516618875660;0.12218119979996200;0.0003367102265845330;0.4258518559811020
1920;384.2;2.0130995135;0.005392159162698670;0.12120040460535700;0.0003246396255309810;0.4125437864476770
1920;388.4;2.0317441675;0.005292718700239830;0.12021740189024400;0.0003131678196811090;0.3998835749277350
1920;392.6;2.0503381311;0.005197622909053560;0.11923190333524900;0.0003022537906575900;0.3878273464035850
1920;396.8;2.0689368994;0.005106736437473300;0.11824361534237300;0.0002918595434896530;0.3763343384371990
1920;401;2.0875851312;0.005019917730851650;0.11725223834505500;0.0002819509400847460;0.3653680502488120
1920;405.2;2.1062027041;0.004936729318068820;0.11625746608074200;0.0002724959188971550;0.3548940231940920
1920;409.4;2.1249866269;0.004857409468169500;0.11525898482087500;0.0002634652270683260;0.3448808437701110
1920;413.6;2.1436665559;0.004781130405990570;0.11425647255266700;0.0002548321209315310;0.3352998207583720
1920;417.8;2.1625180665;0.004708319684709510;0.11324959810644500;0.0002465714947375890;0.3261238971020830
1920;422;2.1813453036;0.004638367588855350;0.11223802022160100;0.0002386606074627790;0.3173286531581080
1920;426.2;2.200247065;0.004571317831865900;0.11122138654339500;0.0002310778256106240;0.3088906905531990
1920;430.4;2.2192070259;0.004506986204283910;0.11019933254188600;0.0002238037576877980;0.3007891790020930
1920;434.6;2.2383009078;0.004445374775544380;0.10917148034315800;0.0002168198847792930;0.2930040706579320
1920;438.8;2.2573022075;0.004385902180107240;0.10813743746173900;0.0002101093159497690;0.2855171435155330
1920;443;2.2765252671;0.004329059596709070;0.10709679542156600;0.0002036561670115450;0.2783111990912540
1920;447.2;2.2958905664;0.004274561176800880;0.10604912825115800;0.0001974455982745960;0.2713701392067320
1920;451.4;2.3152503989;0.004222023016293430;0.10499399083653300;0.0001914639756041370;0.2646792163788630
1920;455.6;2.3348731071;0.004171828495177200;0.10393091711305100;0.0001856982977855360;0.2582242734218550
1920;459.8;2.3544773743;0.004123371714546980;0.10285941807447100;0.0001801366280628810;0.2519923612965530
1920;464;2.3742948348;0.004076972116791910;0.10177897957418900;0.0001747677060634540;0.2459712262947710
1920;468.2;2.394234424;0.004032376358855810;0.10068905988958700;0.0001695807982006400;0.2401491168009170
1920;472.4;2.4143968157;0.003989673092303980;0.09958908701572420;0.0001645661136452770;0.2345153892370890
1920;476.6;2.4346519352;0.003948562110536240;0.09847845564887010;0.0001597141230148460;0.2290595639928470
1920;480.8;2.4552146258;0.003909321136080900;0.09735652381360630;0.0001550161490067330;0.2237721816290860
1920;485;2.4759863609;0.003871710218166390;0.09622260907897030;0.0001504636958744460;0.2186438607665890
1920;489.2;2.4970779677;0.003835833043564100;0.09507598429918500;0.0001460489447830470;0.2136660246241560
1920;493.4;2.5184096568;0.003801495036254660;0.09391587280239050;0.0001417643564567230;0.2088303428731780
1920;497.6;2.5401412127;0.003768870427810330;0.09274144293597540;0.0001376027757682230;0.2041288958131930
1920;501.8;2.562102733;0.003737640610864500;0.09155180185887920;0.0001335573816817100;0.1995541152800580
1920;506;2.5845754696;0.003708156185310560;0.09034598844867680;0.0001296216882884750;0.1950988009601730
1920;510.2;2.6074981579;0.003680258861897590;0.08912296516318670;0.0001257893821893840;0.1907558904998290
1920;514.4;2.6309002194;0.003653927475220010;0.08788160866117300;0.0001220544291585790;0.1865186320082420
1920;518.6;2.6549599213;0.003629343943856160;0.08662069894234020;0.0001184109434568810;0.1823804005558560
1920;522.8;2.6795435071;0.003606261081111360;0.08533890671044330;0.0001148532864485920;0.1783348638791120
1920;527;2.704922614;0.003584977954607790;0.08403477859112890;0.0001113757662102480;0.1743755338042670
1920;531.2;2.7312442296;0.003565614554417680;0.08270671974287620;0.0001079728720231870;0.1704961423206110
1920;535.4;2.7585062999;0.003548088915350200;0.08135297327790820;0.0001046390877285330;0.1666903693197540
1920;539.6;2.7866614727;0.003532263600004220;0.07997159575010570;0.0001013688815327970;0.1629518435807570
1920;543.8;2.8163649134;0.003518879833322930;0.07856042775451550;0.0000981565647292511;0.1592739358759220
1920;548;2.8475133278;0.003507697742275100;0.07711705839751470;0.0000949963355706117;0.1556498494659600
1920;552.2;2.8803772061;0.003498933656611300;0.07563878200830020;0.0000918820908421011;0.1520723387145480
1920;556.4;2.9153783442;0.003492958641822830;0.07412254492710970;0.0000888073358888746;0.1485335843021680
1920;560.6;2.9530015996;0.003490176780902590;0.07256487945732800;0.0000857650254655253;0.1450249546561430
1920;564.8;2.9936925779;0.003490893984736070;0.07096182100622830;0.0000827473722348201;0.1415367102167240
1920;569;3.0382413493;0.003495747844830070;0.06930880290460940;0.0000797455075232127;0.1380574489151460
1920;573.2;3.087533957;0.003505378227617070;0.06760052113695050;0.0000767490813936627;0.1345734262226340
1920;577.4;3.1430921376;0.003520987625978880;0.06583075781870030;0.0000737456216818724;0.1310674201407440
1920;581.6;3.2069258216;0.003544063186212850;0.06399214703319320;0.0000707195068191496;0.1275168363878350
1920;585.8;3.2819354537;0.003576653546876190;0.06207585838727300;0.0000676502759440725;0.1238904629018290
1920;590;3.3728788493;0.003622082511487100;0.06007116020997640;0.0000645094913172895;0.1201422362988870
1920;594.2;3.4880479254;0.003686001176382560;0.05796480168970310;0.0000612544127222479;0.1161982776190910
2240;300;1.6410381724;0.009125729697278360;0.14080906923239800;0.0007830320624967710;0.9113712888611400
2240;304.3;1.6600724342;0.008798894903065140;0.13979443825566600;0.0007409535541450440;0.8659620337402710
2240;308.6;1.6789839988;0.008494865148596630;0.13878299976017100;0.0007021763571050070;0.8240610816824560
2240;312.9;1.6980179097;0.008212632704223320;0.13777443584624600;0.0006663597781799670;0.7853096348957710
