P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: 13-ClHexaFC3
780;511.6;0.94755743389076700000;0.0008583686931764030;0.020519611888768800;0.00001858820564483050;0.423765264975942;;;
780;516;0.95008592181348400000;0.0008594981937865860;0.020741358329874900;0.00001876373453379890;0.432554578654464;;;
780;520.4;0.95258525828799900000;0.0008606608227262570;0.020962708711460600;0.00001893980824204810;0.441424829421497;;;
780;524.8;0.95505710343749400000;0.0008618564992439190;0.021183643751025800;0.00001911640778208640;0.450376262268609;;;
780;529.2;0.95750076496886800000;0.0008630829932318090;0.021404145229099700;0.00001929351328768950;0.459409059450702;;;
780;533.6;0.95991624908941100000;0.0008643387412138640;0.021624195944311200;0.00001947110523443900;0.468523370839464;;;
780;538;0.96230121553762100000;0.0008656203067529910;0.021843779671411200;0.00001964916904864130;0.477719428292405;;;
780;542.4;0.96465562877942800000;0.0008669259422030110;0.022062881121915400;0.00001982768091918010;0.486997205036438;;;
780;546.8;0.96698172954849900000;0.0008682563551745840;0.022281485907081500;0.00002000662592724420;0.496356855493482;;;
780;551.2;0.96927758073857800000;0.0008696083133085360;0.022499580502974200;0.00002018598453131670;0.505798389064131;;;
780;555.6;0.97154351619899600000;0.0008709808560653190;0.022717152217405600;0.00002036574209572450;0.515321906764763;;;
780;560;0.97377891284344700000;0.0008723719583078570;0.022934189158567200;0.00002054587878683980;0.524927350265967;;;
780;564.4;0.97598479322745900000;0.0008737812776389430;0.023150680205192200;0.00002072637921028450;0.534614745124229;;;
780;568.8;0.97816041516549700000;0.0008752068083454910;0.023366614978110300;0.00002090722564495700;0.544384030993220;;;
780;573.2;0.98030617217689600000;0.0008766478002313820;0.023581983813071600;0.00002108840566505260;0.554235259961043;;;
780;577.6;0.98242179032479300000;0.0008781023579053800;0.023796777734733100;0.00002126989328332290;0.564168103611547;;;
780;582;0.98450772176100800000;0.0008795702468130750;0.024010988431714800;0.00002145168651733140;0.574182842815167;;;
780;586.4;0.98656384661447900000;0.0008810498001743270;0.024224608232640800;0.00002163376077069020;0.584279138362869;;;
780;590.8;0.98859185427048200000;0.0008825415061539430;0.024437630083094000;0.00002181610415582670;0.594456966751133;;;
780;595.2;0.99058958474740600000;0.0008840421900894090;0.024650047523417700;0.00002199869888998170;0.604716124656927;;;
780;599.6;0.99255817261433300000;0.0008855520203068390;0.024861854667307300;0.00002218153679720260;0.615056652210949;;;
780;604;0.99449787548344800000;0.0008870698535839110;0.025073046181140600;0.00002236459619785000;0.625478198626971;;;
780;608.4;0.99641074271982900000;0.0008885966676322240;0.025283617263999800;0.00002254786814637550;0.635980746555944;;;
780;612.8;0.99829399780541500000;0.0008901287908349550;0.025493563628343300;0.00002273133467340990;0.646564008798787;;;
780;617.2;1.00015020846295000000;0.0008916678303293920;0.025702881481291900;0.00002291499053812980;0.657228041819299;;;
780;621.6;1.00197790905691000000;0.0008932112192469950;0.025911567506492700;0.00002309881544879510;0.667972457856016;;;
780;626;1.00377938651012000000;0.0008947601859722760;0.026119618846531900;0.00002328280031521870;0.678797172781946;;;
780;630.4;1.00555388372309000000;0.0008963130287310420;0.026327033085868700;0.00002346693016124390;0.689701917436124;;;
780;634.8;1.00730094953341000000;0.0008978685193928610;0.026533808234262700;0.00002365119493254420;0.700686551136192;;;
780;639.2;1.00902180898606000000;0.0008994268388048300;0.026739942710673900;0.00002383558207354460;0.711750846063567;;;
780;643.6;1.01071739583132000000;0.0009009880411899230;0.026945435327611400;0.00002402008226529630;0.722894657235569;;;
780;648;1.01238678686408000000;0.0009025504803324880;0.027150285275912900;0.00002420468474587980;0.734117784582151;;;
780;652.4;1.01403131700820000000;0.0009041142709219320;0.027354492109935200;0.00002438937168467530;0.745419799508520;;;
780;656.8;1.01565056229824000000;0.0009056786278861100;0.027558055733138900;0.00002457414294845750;0.756800799543996;;;
780;661.2;1.01724498311456000000;0.0009072429693961690;0.027760976384051600;0.00002475898241433500;0.768260383857804;;;
780;665.6;1.01881601789545000000;0.0009088079771365130;0.027963254622594700;0.00002494388429444720;0.779798457751624;;;
780;670;1.02036295817139000000;0.0009103721382956930;0.028164891316758800;0.00002512883491856110;0.791414671083681;;;
780;674.4;1.02188548970017000000;0.0009119344504389100;0.028365887629616300;0.00002531382469704690;0.803108788793653;;;
780;678.8;1.02338622302716000000;0.0009134968027297750;0.028566245006656800;0.00002549885164799980;0.814880808485907;;;
780;683.2;1.02486299360767000000;0.0009150562146899530;0.028765965163435300;0.00002568389663646370;0.826730172324332;;;
780;687.6;1.02631841022414000000;0.0009166146807477210;0.028965050073520400;0.00002586896021886950;0.838656941802845;;;
780;692;1.02775128415337000000;0.0009181704317775220;0.029163501956733800;0.00002605403232924880;0.850660830830722;;;
780;696.4;1.02916217880741000000;0.0009197232150793790;0.029361323267669100;0.00002623910127169470;0.862741489249303;;;
1040;398;0.93440835692064800000;0.0009241082645451130;0.015064534993788600;0.00001489847686633150;0.155946193384498;;;
1040;402.2;0.93050769540062500000;0.0009158248905948200;0.015260536137033600;0.00001501973482562100;0.161573662065855;;;
1040;406.4;0.92778496740335800000;0.0009089547786367600;0.015458894601599800;0.00001514514312502030;0.167165002681654;;;
1040;410.6;0.92596826410873400000;0.0009031945329554390;0.015659231577759600;0.00001527410052754770;0.172734275286467;;;
1040;414.8;0.92485973264720700000;0.0008983230674809060;0.015861244883423800;0.00001540614393164230;0.178292591572232;;;
1040;419;0.92432094860594800000;0.0008941838027237650;0.016064688104661300;0.00001554090483469200;0.183848862397842;;;
1040;423.2;0.92423764588857800000;0.0008906489435410220;0.016269356512834100;0.00001567809454062730;0.189410472232900;;;
1040;427.4;0.92452470921819000000;0.0008876219808539170;0.016475077259605100;0.00001581746876647380;0.194983453672417;;;
1040;431.6;0.92512163388667500000;0.0008850332501647600;0.016681702368895300;0.00001595883257404520;0.200572969866788;;;
1040;435.8;0.92597050275126000000;0.0008828173043360610;0.016889103613180600;0.00001610201715944480;0.206183344924950;;;
1040;440;0.92703223381127800000;0.0008809285575034120;0.017097168692615300;0.00001624688290703410;0.211818334961608;;;
1040;444.2;0.92826885491787400000;0.0008793235753267530;0.017305798335548300;0.00001639330716061180;0.217481152133892;;;
1040;448.4;0.92965426466369600000;0.0008779713138557810;0.017514904063793700;0.00001654118516684240;0.223174614336293;;;
1040;452.6;0.92764524622912100000;0.0008735295534927160;0.017724403369784800;0.00001669042149945840;0.228902119944637;;;
1040;456.8;0.92942454573128100000;0.0008727653764270760;0.017934220116885600;0.00001684092209865650;0.234667237061086;;;
1040;461;0.93127794936437500000;0.0008721672044342370;0.018144290298595200;0.00001699262283292540;0.240471889331015;;;
1040;465.2;0.93319642103467300000;0.0008717223252742050;0.018354555444299000;0.00001714545340148080;0.246317588079468;;;
1040;469.4;0.93516575297529200000;0.0008714142773169950;0.018564961838021700;0.00001729936404538620;0.252205878411856;;;
1040;473.6;0.93717508883991200000;0.0008712295149599390;0.018775459947776200;0.00001745429969089270;0.258138007967969;;;
1040;477.8;0.93921977880888900000;0.0008711607037215470;0.018986003949943600;0.00001761021321640890;0.264115144633105;;;
1040;482;0.94129162470330900000;0.0008711973447537850;0.019196551329789000;0.00001776705975920400;0.270138318694993;;;
1040;486.2;0.94338166569677200000;0.0008713286110511200;0.019407062543477900;0.00001792480123948700;0.276208512083227;;;
1040;490.4;0.94548801256155200000;0.0008715500940656210;0.019617500730150500;0.00001808339648894490;0.282326525753251;;;
1040;494.6;0.94760430881909500000;0.0008718537255297150;0.019827831465028800;0.00001824281355738420;0.288493183586883;;;
1040;498.8;0.94972677271709600000;0.0008722335590121380;0.020038022546382700;0.00001840301465988380;0.294709111260815;;;
1040;503;0.95185239779807600000;0.0008726847436088360;0.020248043810612700;0.00001856396954225410;0.300974956262386;;;
1040;507.2;0.95397860290612700000;0.0008732029651070480;0.020457866970813000;0.00001872565070564510;0.307291324946401;;;
1040;511.4;0.95609983497853000000;0.0008737809615413300;0.020667465475057900;0.00001888802528223830;0.313658657191397;;;
1040;515.6;0.95821507088677700000;0.0008744159169867540;0.020876814381339600;0.00001905106624353890;0.320077415456466;;;
1040;519.8;0.96032411182755300000;0.0008751059928653820;0.021085890246634600;0.00001921475124124050;0.326548076044953;;;
1040;524;0.96242202265548200000;0.0008758447843128100;0.021294671028017900;0.00001937905213565860;0.333070958247376;;;
1040;528.2;0.96450963202842800000;0.0008766313020700220;0.021503135994095100;0.00001954394386445770;0.339646376953508;;;
1040;532.4;0.96658409677472800000;0.0008774613260602300;0.021711265645311300;0.00001970940346230500;0.346274631990304;;;
1040;536.6;0.96864303846902800000;0.0008783311312103090;0.021919041641929700;0.00001987540907828200;0.352955995859890;;;
1040;540.8;0.97068752324048000000;0.0008792402594265780;0.022126446738661900;0.00002004194172162010;0.359690748956108;;;
1040;545;0.97271492089657200000;0.0008801845854862410;0.022333464725094300;0.00002020897486944060;0.366478996314919;;;
