P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
1080;656;2.40747624585287000000;0.00075546211077278900;0.04541997463636180000;0.00001425271379900020;0.61212112302303000000
1080;661;2.41770796465008000000;0.00075551993460773100;0.04597622507293160000;0.00001436730782563270;0.62353607620602100000
1080;666;2.42788589310450000000;0.00075561626903419900;0.04653326336257740000;0.00001448226662870730;0.63503866777128800000
1080;671;2.43801017666221000000;0.00075574993143724100;0.04709103701966770000;0.00001459757975565390;0.64662943807025000000
1080;676;2.44807939609584000000;0.00075591918623012800;0.04764949505770430000;0.00001471323503058730;0.65830879300903000000
1080;681;2.45809234895800000000;0.00075612274313629400;0.04820858793683200000;0.00001482922713175390;0.67007739119402800000
1080;686;2.46804150263677000000;0.00075635691358359600;0.04876826751570350000;0.00001494554133696240;0.68193542049010300000
1080;691;2.47793021204250000000;0.00075662183682478100;0.04932848700716070000;0.00001506217175357040;0.69388341982100000000
1080;696;2.48776018266607000000;0.00075691691153304800;0.04988920093726810000;0.00001517910775942240;0.70592167050455900000
1080;701;2.49752734939028000000;0.00075723990531422700;0.05045036510730170000;0.00001529634088141130;0.71805051101164600000
1080;706;2.50722780614343000000;0.00075758853086180700;0.05101193655834760000;0.00001541385987302800;0.73027011048477900000
1080;711;2.51686307799214000000;0.00075796231282439900;0.05157387353821580000;0.00001553165637422140;0.74258073517305800000
1080;716;2.52643185265791000000;0.00075836009192174000;0.05213613547040830000;0.00001564972530178780;0.75498277521777200000
1080;721;2.53593819186671000000;0.00075878186036812000;0.05269868292492180000;0.00001576805175968720;0.76747611612022400000
1080;726;2.54537044291695000000;0.00075922345381422900;0.05326147759068640000;0.00001588663178052370;0.78006113749508400000
1080;731;2.55473928008228000000;0.00075968699263332900;0.05382448224947380000;0.00001600545283385310;0.79273777239596400000
1080;736;2.56404431776227000000;0.00076017175507339800;0.05438766075112510000;0.00001612451206132100;0.80550640112976100000
1080;741;2.57327128688574000000;0.00076067243066800300;0.05495097798996850000;0.00001624379606154960;0.81836685449729200000
1080;746;2.58243452218527000000;0.00076119253236367800;0.05551439988231470000;0.00001636329837834990;0.83131928085721900000
1080;751;2.59152919836733000000;0.00076172978648902400;0.05607789334492790000;0.00001648301001250440;0.84436367572858800000
1080;756;2.60055752220895000000;0.00076228412273407400;0.05664142627438710000;0.00001660292439957370;0.85750013435036300000
1080;761;2.60951422276214000000;0.00076285327654195000;0.05720496752725860000;0.00001672303470584410;0.87072871679237500000
1080;766;2.61840392255302000000;0.00076343771012135400;0.05776848690101270000;0.00001684333000612190;0.88404924748114300000
1080;771;2.62722030595216000000;0.00076403493613091200;0.05833195511562350000;0.00001696380448194060;0.89746179393268600000
1080;776;2.63597095548952000000;0.00076464644785928100;0.05889534379579960000;0.00001708445054567990;0.91096631141556700000
1080;781;2.64465252315520000000;0.00076527046278910400;0.05945862545379810000;0.00001720525831633490;0.92456261165440900000
1080;786;2.65326343718933000000;0.00076590598425561300;0.06002177347277930000;0.00001732622356456800;0.93825078884467200000
1080;791;2.66180503661829000000;0.00076655273540355600;0.06058476209066660000;0.00001744733910466110;0.95203076215830900000
1080;796;2.67028384615106000000;0.00076721194466642900;0.06114756638447690000;0.00001756859795451130;0.96590244380084200000
1080;801;2.67868978086749000000;0.00076787993284541500;0.06171016225509290000;0.00001768998992969410;0.97986555119850000000
1080;806;2.68703056416865000000;0.00076855832836225900;0.06227252641245110000;0.00001781150889783630;0.99392000561982100000
1080;811;2.69530133754901000000;0.00076924527039814300;0.06283463636112090000;0.00001793315135662470;1.00806586095198000000
1080;816;2.70350870716874000000;0.00076994180665567600;0.06339647038625520000;0.00001805490502595960;1.02230266348915000000
1080;821;2.71164387238237000000;0.00077064509672877100;0.06395800753989270000;0.00001817676923181520;1.03663059679422000000
1080;826;2.71971518636544000000;0.00077135681804632400;0.06451922762759440000;0.00001829873450540810;1.05104933392098000000
1080;831;2.72772074084168000000;0.00077207589994408600;0.06508011119539990000;0.00001842079530624720;1.06555875571818000000
1080;836;2.73565979123370000000;0.00077280167333168100;0.06564063951708900000;0.00001854294756238370;1.08015881581092000000
1080;841;2.74353275007588000000;0.00077353353859753800;0.06620079458173660000;0.00001866518082912010;1.09484908386895000000
1080;846;2.75134118094795000000;0.00077427140415999900;0.06676055908154770000;0.00001878748887288740;1.10962935802750000000
1080;851;2.75908438763821000000;0.00077501479638280500;0.06731991639996560000;0.00001890987152657840;1.12449978397255000000
1080;856;2.76676509335661000000;0.00077576371550227100;0.06787885060003910000;0.00001903231664731820;1.13945978719788000000
1080;861;2.77438432667597000000;0.00077651813163518200;0.06843734641304400000;0.00001915482287718870;1.15450942088341000000
1080;866;2.78193236781934000000;0.00077727489740518300;0.06899538922734840000;0.00001927738600099590;1.16964856006193000000
1080;871;2.78942782881562000000;0.00077803851389762400;0.06955296507751590000;0.00001939999487603190;1.18487664742732000000
1080;876;2.79685309270952000000;0.00077880369630782500;0.07011006063363790000;0.00001952264654592420;1.20019360875195000000
1080;881;2.80422111470728000000;0.00077957385284431600;0.07066666319089140000;0.00001964534201759100;1.21559960814139000000
1440;545;2.28179483782595000000;0.00082741781203269700;0.03391810144838160000;0.00001229928336390760;0.26568642293908100000
1440;550;2.28168131444617000000;0.00082103388546141100;0.03441944773229820000;0.00001238539875317520;0.27390579904850700000
1440;555;2.28327061610553000000;0.00081549599540476900;0.03492533114323060000;0.00001247397811043070;0.28208054561090400000
1440;560;2.28623074149808000000;0.00081065509090585700;0.03543531675310170000;0.00001256470722851910;0.29022595491445200000
1440;565;2.29028467005712000000;0.00080638878937342900;0.03594904188146230000;0.00001265733676731290;0.29835451595751200000
1440;570;2.29522751378001000000;0.00080260527781524700;0.03646619865073420000;0.00001275166114174760;0.30647647838479200000
1440;575;2.30090884813908000000;0.00079923595063748600;0.03698652162203820000;0.00001284751362196370;0.31460048604164300000
1440;580;2.30720439544320000000;0.00079622421255547600;0.03750977882161060000;0.00001294475433748030;0.32273384060619100000
1440;585;2.31399657590328000000;0.00079351816008581800;0.03803576509251410000;0.00001304326490711700;0.33088277751082600000
