P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);μ(cP);Viscosidade cinemática ν (cSt)
1800;511;2.656259874937150;0.003299886910138240;0.0836931024854249;0.000103972422264236;0.1607982063549800
1800;515;2.682215439512540;0.003290531583334050;0.0823726608055294;0.000101054463407726;0.1576368217195750
1800;519;2.709470436017400;0.003283284107696830;0.0810265567507965;0.000098186421429393;0.1545299192678380
1800;523;2.738180214620860;0.003278271992745380;0.0796528564330576;0.000095363967277376;0.1514730673739980
1800;527;2.768653524725240;0.003275797582582520;0.0782494108971654;0.000092582632231268;0.1484617175491670
1800;531;2.801111244509770;0.003276046034590010;0.0768138207604420;0.000089837778987602;0.1454911965652750
1800;535;2.836050957323220;0.003279510665952850;0.0753433931322992;0.000087124478757486;0.1425565556514010
1800;539;2.873960086435870;0.003286647029899170;0.0738350886610094;0.000084437454784208;0.1396525348446710
1800;543;2.915466644412620;0.003298040257874260;0.0722854558105960;0.000081770904077748;0.1367733407025710
1800;547;2.961451425511060;0.003314520764117950;0.0706905484145539;0.000079118397326571;0.1339125670230030
1800;551;3.013232488993490;0.003337345259490110;0.0690458210276588;0.000076472606855248;0.1310628504124120
1800;555;3.072519031240990;0.003368109729028330;0.0673459943520782;0.000073824993916052;0.1282154779743390
1800;559;3.141861202538920;0.003409196064022000;0.0655848796398956;0.000071165369541788;0.1253598092760070
2160;290;1.659499596090610;0.007201119183669730;0.1410919785003460;0.000612244893240265;0.7020373672077690
2160;294;1.676669674945410;0.006993955758691650;0.1401135681554740;0.000584461036968250;0.6728203670796640
2160;298;1.693891804060060;0.006799925581380150;0.1391381313162300;0.000558553348103405;0.6455487738528150
2160;302;1.711007636794790;0.006617300478703840;0.1381653838088130;0.000534352881166019;0.6200490267930370
2160;306;1.728104596165580;0.006445477454270110;0.1371950466080030;0.000511709523666293;0.5961668250708500
2160;310;1.745246586757690;0.006283813074558220;0.1362268452655210;0.000490488872965291;0.5737638488408490
2160;314;1.762241102319630;0.006130829472620390;0.1352605093584770;0.000470570750032471;0.5527163251954360
2160;318;1.779327294177270;0.005986667451621350;0.1342957719550620;0.000451847239956762;0.5329130027836060
2160;322;1.796295408567910;0.005849969311262030;0.1333323690947820;0.000434221600568573;0.5142541062565960
2160;326;1.813207417065220;0.005720385177045220;0.1323700392806580;0.000417606724668904;0.4966497355150530
2160;330;1.830113362079760;0.005597553297909950;0.1314085229808900;0.000401923851508986;0.4800185239742870
2160;334;1.846964882157450;0.005480846967901270;0.1304475621375660;0.000387101634859802;0.4642866919126870
2160;338;1.863855775825520;0.005370113957251010;0.1294868996800300;0.000373075758474343;0.4493877362717750
2160;342;1.880708380085800;0.005264720947538300;0.1285262790405750;0.000359787301816137;0.4352606018825070
2160;346;1.897456650641650;0.005164134993162710;0.1275654436700810;0.000347183252567178;0.4218504145961270
2160;350;1.914298648843220;0.005068565047631420;0.1266041365512630;0.000335214832751962;0.4091065665210510
2160;354;1.930961193082530;0.004976981871174110;0.1256420997070910;0.000323837917995753;0.3969833173203330
2160;358;1.947748973750990;0.004889900958965880;0.1246790737019250;0.000313011753708650;0.3854383154412110
2160;362;1.964475733972680;0.004806582648746850;0.1237147971328070;0.000302699283584053;0.3744330745728610
2160;366;1.981193786642620;0.004726925409289590;0.1227490061082170;0.000292866553413353;0.3639323148660090
