P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: 13-ClHexaFC3
780;313.8;1.012924244791270000;0.00543036096973964;0.0731435770175617;0.0003921280666997570;0.2528202181840250;;;
780;315.2;1.015770349600220000;0.00544094389627899;0.0727643769839812;0.0003897602376101590;0.2519893481325620;;;
780;316.6;1.018652483158730000;0.00545199856010597;0.0723838520419166;0.0003874104894769680;0.2511687714262360;;;
780;318;1.021545472077950000;0.00546339231817307;0.0720019834782391;0.0003850783877765740;0.2503583292701060;;;
780;319.4;1.024459081416140000;0.00547518257483748;0.0716187521123254;0.0003827636952126600;0.2495579918128600;;;
780;320.8;1.027385595100950000;0.00548732971310103;0.0712341382791918;0.0003804659179868570;0.2487675633962670;;;
780;322.2;1.030346654426100000;0.00549995536157840;0.0708481218118299;0.0003781848620974790;0.2479870450580210;;;
780;323.6;1.033290511523880000;0.00551278579969975;0.0704606820226945;0.0003759200756803740;0.2472162707365510;;;
780;325;1.036300738148480000;0.00552627073761147;0.0700717976842949;0.0003736711852260280;0.2464551267065340;;;
780;326.4;1.039310883808300000;0.00554006050726090;0.0696814470088348;0.0003714378812698390;0.2457035429907180;;;
780;327.8;1.042351738521910000;0.00555432380301738;0.0692896076268416;0.0003692198158456960;0.2449614260973420;;;
780;329.2;1.045400997310590000;0.00556894578038812;0.0688962565647257;0.0003670165977148720;0.2442286556324070;;;
780;330.6;1.048501595807190000;0.00558416030567458;0.0685013702211992;0.0003648278972613810;0.2435051540516820;;;
780;332;1.051598671545630000;0.00559968289985506;0.0681049243424851;0.0003626535393735410;0.2427909496476870;;;
780;333.4;1.054777051279590000;0.00561596774013432;0.0677068939962375;0.0003604929894960080;0.2420858332087500;;;
780;334.8;1.057934237376140000;0.00563247576148162;0.0673072535440909;0.0003583459734692390;0.2413897720789140;;;
780;336.2;1.061140474205070000;0.00564958695124899;0.0669059766127476;0.0003562121525098860;0.2407026934674240;;;
780;337.6;1.064394697104030000;0.00566730265032693;0.0665030360635072;0.0003540912347298790;0.2400245596311910;;;
780;339;1.067671960602760000;0.00568549626139313;0.0660984039601323;0.0003519828584682730;0.2393552893269010;;;
780;340.4;1.070992238980190000;0.00570428128297101;0.0656920515349387;0.0003498866998023590;0.2386948307122950;;;
780;341.8;1.074327786149750000;0.00572351777854687;0.0652839491529867;0.0003478024569856800;0.2380431514396010;;;
780;343.2;1.077743924318890000;0.00574356079983556;0.0648740662742414;0.0003457297559938900;0.2374001744118090;;;
780;344.6;1.081183054619600000;0.00576411121183460;0.0644623714135575;0.0003436682402843100;0.2367658392039700;;;
780;346;1.084686875118130000;0.00578540118144847;0.0640488320983345;0.0003416176570328130;0.2361401622922480;;;
780;347.4;1.088234090881190000;0.00580732601963599;0.0636334148236709;0.0003395776595498510;0.2355231016855820;;;
780;348.8;1.091824618862880000;0.00582989311420829;0.0632160850048341;0.0003375478188618980;0.2349145644097620;;;
780;350.2;1.095497821941660000;0.00585332696134287;0.0627968069268460;0.0003355280455233300;0.2343147006418690;;;
780;351.6;1.099190637933560000;0.00587729613688236;0.0623755436909646;0.0003335177077745470;0.2337232904409720;;;
780;353;1.102976130216880000;0.00590220145445816;0.0619522571578243;0.0003315164238703670;0.2331402950034280;;;
780;354.4;1.106818870718760000;0.00592787142253026;0.0615269078869725;0.0003295241964414530;0.2325659552440860;;;
780;355.8;1.110732053748330000;0.00595438405713106;0.0610994550725202;0.0003275404000050960;0.2320000803101410;;;
780;357.2;1.114704972539600000;0.00598169365437712;0.0606698564745912;0.0003255646152355710;0.2314426335401210;;;
780;358.6;1.118793886502700000;0.00601012118970562;0.0602380683462295;0.0003235967727052250;0.2308938385745090;;;
780;360;1.122943368063130000;0.00603938040654749;0.0598040453553880;0.0003216363264824080;0.2303535931763760;;;
780;361.4;1.127177141677410000;0.00606961070192147;0.0593677405015839;0.0003196827364340190;0.2298218107671180;;;
780;362.8;1.131510313462280000;0.00610091227581196;0.0589291050267673;0.0003177357696018930;0.2292986391788080;;;
780;364.2;1.135964561570570000;0.00613342166533976;0.0584880883198962;0.0003157951578784980;0.2287842182668560;;;
780;365.6;1.140498470609280000;0.00616692635617147;0.0580446378146672;0.0003138601374734590;0.2282783460483070;;;
780;367;1.145174311350560000;0.00620178867322822;0.0575986988797821;0.0003119306421430590;0.2277813445820020;;;
