P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: Refrig-1270
2300;634.8;2.712558961117940;0.00091481990163570100;0.056818887585002400;0.00001916236656848170;1.0170862739063500;;;
2300;640;2.725373550434440;0.00091555987899669700;0.057459142777000900;0.00001930277990691550;1.0339677908652400;;;
2300;645.2;2.737998257512010;0.00091629213009822900;0.058097649438463300;0.00001944282426463020;1.0509492288085000;;;
2300;650.4;2.750437877266460;0.00091701940355935400;0.058734221331303900;0.00001958248941338930;1.0680296468540400;;;
2300;655.6;2.762684516007110;0.00091774083839381800;0.059368670857102500;0.00001972177910689230;1.0852088484059100;;;
2300;660.8;2.774723619464550;0.00091845283696279500;0.060000809039065900;0.00001986068554554900;1.1024859979891300;;;
2300;666;2.786563900250080;0.00091915968331523700;0.060630445505766700;0.00001999920442712290;1.1198604363093600;;;
2300;671.2;2.798190178660860;0.00091985807461392000;0.061257388476529900;0.00002013733871614990;1.1373319019378200;;;
2300;676.4;2.809600796854590;0.00092054875062709900;0.061881444748350600;0.00002027508203794200;1.1548996032372400;;;
2300;681.6;2.820785181976590;0.00092122994830774500;0.062502419684236800;0.00002041243736769470;1.1725632696364600;;;
2300;686.8;2.831743263713120;0.00092190295708894300;0.063120117202878100;0.00002054939917993540;1.1903221404062400;;;
2300;692;2.842472021845110;0.00092256837190264400;0.063734339769548100;0.00002068596827817290;1.2081758105468900;;;
2300;697.2;2.852961021884130;0.00092322443085950000;0.064344888388158800;0.00002082214671185530;1.2261239468862500;;;
2760;337;2.630799672376890;0.00126163368371453000;0.024512204229943500;0.00001175514154243670;0.1773046206299640;;;
2760;342;2.472325078320040;0.00117732764709070000;0.024750576899317400;0.00001178628923863490;0.1882516427513680;;;
2760;347;2.371989638109830;0.00112157798929275000;0.025043609473750100;0.00001184168796815840;0.1986938746184630;;;
2760;352;2.304159168061060;0.00108175872870023000;0.025375400544434600;0.00001191326598166650;0.2088192952104030;;;
2760;357;2.256587554177270;0.00105184403508665000;0.025736714900423000;0.00001199643683251880;0.2187387936127760;;;
2760;362;2.222611237590470;0.00102855898566447000;0.026121657643201800;0.00001208833341385130;0.2285239410545550;;;
2760;367;2.184828306764530;0.00100378460717187000;0.026526203828188700;0.00001218704234424270;0.2382241814211360;;;
2760;372;2.168669606658770;0.00098916878393649300;0.026947420179978800;0.00001229119768535100;0.2478781359443390;;;
2760;377;2.157724025566280;0.00097707445702547200;0.027383155913812500;0.00001239981660264010;0.2575129127210840;;;
2760;382;2.150846744986240;0.00096694398153474500;0.027831770556630900;0.00001251217135666370;0.2671484152087880;;;
2760;387;2.147222702002050;0.00095838088339652900;0.028291964844111200;0.00001262769727380470;0.2768002236158540;;;
2760;392;2.146232324013200;0.00095108516747545400;0.028762686160095900;0.00001274594734109060;0.2864807699054650;;;
2760;397;2.147406930772990;0.00094483055044109600;0.029243064708924000;0.00001286656037548110;0.2962001070527280;;;
2760;402;2.150380739465180;0.00093944120681536300;0.029732369110245200;0.00001298924055902560;0.3059664820473540;;;
2760;407;2.154869675368330;0.00093478090252238000;0.030229974698907200;0.00001311374110243720;0.3157867061531860;;;
2760;412;2.160652550837030;0.00093074345985556400;0.030735340384700500;0.00001323985063605550;0.3256663806911460;;;
2760;417;2.167542764922280;0.00092724040394683200;0.031247991428529900;0.00001336739494307330;0.3356103549069600;;;
2760;422;2.175371614024890;0.00092419238417099100;0.031767506400440500;0.00001349621705556300;0.3456225561079090;;;
2760;427;2.184025733552980;0.00092154528770673900;0.032293507152426800;0.00001362618071877260;0.3557063126391870;;;
2760;432;2.193395755438840;0.00091924826267023500;0.032825651003181300;0.00001375717199272900;0.3658645959939540;;;
2760;437;2.203392599522190;0.00091725931744635300;0.033363624571480900;0.00001388907973486400;0.3760996640402590;;;
2760;442;2.213936317168150;0.00091554180384738100;0.033907138855906300;0.00001402181392062250;0.3864136664490970;;;
2760;447;2.224952784435810;0.00091406173795283100;0.034455925268947500;0.00001415528597030130;0.3968082196168360;;;
2760;452;2.236402223654630;0.00091280034081775500;0.035009732410532400;0.00001428942224178700;0.4072848564232900;;;
2760;457;2.248222579462810;0.00091172971714893000;0.035568323420598300;0.00001442414899127660;0.4178446764717090;;;
2760;462;2.260365827257500;0.00091082847414087700;0.036131473789593300;0.00001455940217436640;0.4284886763713500;;;
2760;467;2.272801639364730;0.00091008289490838900;0.036698969534423400;0.00001469512510708070;0.4392177373900330;;;
2760;472;2.285496153339710;0.00090947779791588500;0.037270605668500000;0.00001483126030242780;0.4500324240224330;;;
2760;477;2.298403825474570;0.00090899402956624500;0.037846184910322800;0.00001496775968785220;0.4609333216939440;;;
2760;482;2.311506307106720;0.00090862319315736300;0.038425516586944500;0.00001510457292398760;0.4719207141864650;;;
2760;487;2.324786843109230;0.00090835813005261800;0.039008415697736300;0.00001524166038901060;0.4829950080573800;;;
2760;492;2.338199589888320;0.00090817986191067600;0.039594702110854900;0.00001537897416924450;0.4941561611594870;;;
2760;497;2.351741651420070;0.00090808717636381600;0.040184199870223800;0.00001551648182637590;0.5054044517834990;;;
2760;502;2.365391861420780;0.00090807148580069800;0.040776736595073500;0.00001565414694703100;0.5167398822000880;;;
2760;507;2.379123084188470;0.00090812193176426500;0.041372142957418000;0.00001579193217594010;0.5281622813392970;;;
2760;512;2.392929316439400;0.00090823646813390500;0.041970252225489700;0.00001592981179431060;0.5396717376382780;;;
2760;517;2.406784112612140;0.00090840458689313700;0.042570899863265200;0.00001606774803826810;0.5512678193454740;;;
2760;522;2.420683640818510;0.00090862529097170800;0.043173923177910400;0.00001620571885083440;0.5629505193191090;;;
2760;527;2.434608135532220;0.00090889130698581500;0.043779161008342900;0.00001634369748744670;0.5747195774465040;;;
