P (kPa);T (K);Título;cp (kJ/kg K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt)
700;307;0;1.69503709668081;0.546105650550154;0.641805367314494
700;310;0;1.70674570715883;0.528212569485872;0.622696097609188
700;313;0;1.71838885142756;0.51118550917968;0.6044980335888
700;316;0;1.73003512883927;0.49496834482836;0.587152736022928
700;319;0;1.74179549642871;0.479509005569113;0.570605894846546
700;322;0;1.75344579933013;0.464759541817811;0.554807470689495
700;325;0;1.76521861680036;0.450675935606233;0.539711531777489
700;328;0;1.77687269570611;0.437217350879379;0.525275415340687
700;331;0;1.78857459982425;0.424346213301844;0.511459873043908
700;334;0;1.80042598714688;0.412027573202655;0.498228352795388
700;337;0;1.81209653164966;0.400229047933752;0.485546969790542
700;340;0;1.82396673348257;0.388920607299318;0.473384286294845
700;343;0;1.83574522543907;0.378074362422788;0.461711091572501
700;346;0;1.84756191234252;0.367664394360875;0.450500226416206
700;349;0;1.85940613535251;0.357666581419135;0.439726402826672
700;352;0;1.87123792784814;0.348058330030981;0.429365901332796
700;355;0;1.88310375855736;0.33881883001703;0.4193969114495
700;358;0;1.89494855383656;0.329928295577956;0.409798619577938
700;361;0;1.90693723826018;0.321368490664588;0.400551879050755
700;364;0;1.91889723273982;0.313122253080229;0.391638642013129
700;367;0;1.93084593415257;0.305173633903887;0.38304215189073
700;370;0;1.94277114467263;0.297507492675616;0.374746454586437
700;373;0;1.95485674185521;0.290109749141945;0.366736729368221
700;376;0;1.96692628198815;0.282967193781397;0.358999067261045
700;379;0;1.97892154962837;0.276067429194157;0.351520411430296
700;382;0;1.99112080288811;0.269398643637329;0.344288281892544
700;385;0;2.00325282472284;0.262949981537486;0.337291260016305
700;388;0;2.01541292255304;0.256710992477002;0.330518297490323
700;391;0;2.02768285792035;0.250671925576365;0.323959102456252
700;394;0;2.03994249348259;0.244823589394873;0.317603970849184
700;397;0;2.05228973296829;0.239157259491527;0.311443676083442
700;400;0;2.06458724776844;0.233664773481797;0.305469601409173
700;403;0;2.07710818152506;0.22833829875306;0.299673445862255
700;406;0;2.08957249166749;0.223170571918091;0.294047544952892
700;409;0;2.10209565779609;0.218154544761065;0.288584413962108
700;412;0;2.11471520041685;0.213283680295073;0.283277143837559
700;415;0;2.12740454435272;0.208551682654269;0.278119051747034
700;418;0;2.14020181861446;0.203952754812995;0.273104029975584
700;421;0;2.15296686010659;0.199481100571148;0.268225887392298
700;424;0;2.16586813345513;0.195131483514584;0.263479101716055
700;427;0;2.17892930500454;0.190898793216923;0.258858244695389
700;430;0;2.19199355573362;0.186778189541192;0.254358180006067
700;433;0;2.20523258352353;0.182765036924495;0.24997397907308
700;436;0;2.21847276727505;0.178854978292884;0.245701026601305
700;439;0;2.23190444296722;0.175043843642215;0.241534900865582
700;442;0;2.24545400468711;0.171327582785182;0.237471284406347
700;445;0;2.25914783210663;0.167702397894162;0.233506150567446
700;448;0;2.27296289696857;0.164164670170668;0.229635667274806
700;451;0;2.28694389070964;0.160710858184398;0.225856058467599
700;454;0;2.30101871177532;0.157337622912873;0.222163781819327
700;457;0;2.31540282575156;0.154041786684906;0.21855547597746
700;460;0;2.32980639917656;0.150820262510639;0.215027864217322
700;463;0;2.34460038466789;0.147670042663904;0.211577740293873
700;466;0;2.35941147835491;0.144588327002426;0.208202155195789
700;469;0;2.3745638305821;0.141572377037716;0.204898212801752
700;472;0;2.39007830161851;0.138619525566835;0.201663085783677
700;475;0;2.40578957059836;0.135727229700506;0.198494095622541
700;478;0;2.42184178863236;0.132893026477731;0.195388652150172
700;481;0;2.43805663219037;0.130114484773035;0.192344185923079
700;484;0;2.45477291914436;0.127389299823675;0.189358290615917
700;487;0;2.47185319164926;0.124715214899756;0.186428612078839
700;490;0;2.48936117840307;0.122090038374905;0.183552877437789
700;493;0;2.50735685995964;0.119511574104884;0.180728794498667
700;496;0;2.52588001230433;0.116977728843531;0.177954217347874
700;499;0;2.54492533985364;0.114486433707091;0.175227033841477
1050;275;0;1.57101576104507;0.811431173631904;0.923483065680885
1050;278.5;0;1.58447154070106;0.773840602135211;0.883689468494947
1050;282;0;1.59792355260461;0.738831244380745;0.846590683337985
1050;285.5;0;1.61137892271956;0.706169875451014;0.811945381904024
1050;289;0;1.624894334245;0.675648869907268;0.779538561284634
1050;292.5;0;1.6384283249003;0.647082928472345;0.749178193702531
1050;296;0;1.6519879750569;0.620306283390734;0.720692364989169
1050;299.5;0;1.66547822492529;0.595170007862739;0.693926476574175
1050;303;0;1.67905785536422;0.571540310660662;0.668741543051046
1050;306.5;0;1.69255325193354;0.54929673547603;0.645012343509856
1050;310;0;1.70619107997303;0.528330850974139;0.622626113243928
1050;313.5;0;1.71975566177979;0.50854437832783;0.601480543503241
